"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"246",4,"stim/11.jpeg",1,"Household items",45,55,10,5.537000179,1,50,1
"245",4,"stim/21.jpeg",2,"Music items",45,55,10,5.236999989,1,50,1
"241",4,"stim/31.jpeg",3,"Household items",65,75,40,6.048999786,1,70,1
"242",4,"stim/41.jpeg",4,"Household items",65,75,50,4.086999893,1,70,1
"243",4,"stim/51.jpeg",5,"Music items",5,15,70,9.148000002,1,10,1
"244",4,"stim/61.jpeg",6,"Household items",5,15,43,3.92599988,1,10,1
"578",4,"stim/11.jpeg",1,"Household items",45,55,10,9.309000015,2,50,1
"579",4,"stim/21.jpeg",2,"Music items",45,55,10,2.869999886,2,50,1
"581",4,"stim/31.jpeg",3,"Household items",65,75,50,3.707999945,2,70,1
"580",4,"stim/41.jpeg",4,"Household items",65,75,40,5.272000074,2,70,1
"583",4,"stim/51.jpeg",5,"Music items",5,15,75,4.355000019,2,10,1
"582",4,"stim/61.jpeg",6,"Household items",5,15,60,3.109999895,2,10,1
