"","participant","trial_index","trial_cond","scn_file","scn_cat","scn_inst","scn_condition","obj_cat","obj_cat_num","obj_file","quadrant","corr_ans","key_resp_trial.keys","key_resp_trial.rt","trial_acc","iteration_index","trial_acc_manual","group"
"828",60,77,0.9,"stim/53.jpeg",5,3,3,"Instruments",2,"stim/objects/Instruments/cello2.png",2,"right","right",0.705000162,1,4,1,0
"829",60,78,0.7,"stim/31.jpeg",3,1,2,"Instruments",2,"stim/objects/Instruments/clarinet.png",3,"right","right",0.90500021,1,4,1,0
"830",60,79,0.9,"stim/62.jpeg",6,2,3,"HouseObjects",1,"stim/objects/HouseObjects/clock2.png",3,"left","left",0.669000149,1,4,1,0
"831",60,80,0.7,"stim/42.jpeg",4,2,2,"HouseObjects",1,"stim/objects/HouseObjects/ballofstring2.png",3,"left","right",0.789000273,0,4,0,0
"832",60,81,0.7,"stim/32.jpeg",3,2,2,"Instruments",2,"stim/objects/Instruments/cornet.png",1,"right","right",0.822000265,1,4,1,0
"833",60,82,0.7,"stim/41.jpeg",4,1,2,"HouseObjects",1,"stim/objects/HouseObjects/ashtray2.png",2,"left","left",1.118000031,1,4,1,0
"834",60,83,0.7,"stim/34.jpeg",3,4,2,"Instruments",2,"stim/objects/Instruments/doublebass.png",3,"right","right",0.798000336,1,4,1,0
"835",60,84,0.9,"stim/54.jpeg",5,4,3,"Instruments",2,"stim/objects/Instruments/chime2.png",2,"right","right",0.687000036,1,4,1,0
"836",60,85,0.5,"stim/14.jpeg",1,4,1,"Instruments",2,"stim/objects/Instruments/banjo.png",2,"right","right",0.737000227,1,4,1,0
"837",60,86,0.5,"stim/24.jpeg",2,4,1,"Instruments",2,"stim/objects/Instruments/chime.png",3,"right","left",1.255000114,0,4,0,0
"838",60,87,0.3,"stim/41.jpeg",4,1,2,"Instruments",2,"stim/objects/Instruments/accordion2.png",2,"right","left",0.737000227,0,4,0,0
"839",60,88,0.7,"stim/44.jpeg",4,4,2,"HouseObjects",1,"stim/objects/HouseObjects/basket2.png",1,"left","right",0.732000113,0,4,0,0
"840",60,89,0.5,"stim/11.jpeg",1,1,1,"HouseObjects",1,"stim/objects/HouseObjects/ashtray.png",2,"left","left",0.633000135,1,4,1,0
"841",60,90,0.5,"stim/23.jpeg",2,3,1,"HouseObjects",1,"stim/objects/HouseObjects/bottle.png",1,"left","left",0.70600009,1,4,1,0
"842",60,91,0.9,"stim/62.jpeg",6,2,3,"HouseObjects",1,"stim/objects/HouseObjects/clock2.png",1,"left","left",0.603000164,1,4,1,0
"843",60,92,0.1,"stim/51.jpeg",5,1,3,"HouseObjects",1,"stim/objects/HouseObjects/bleachbottle2.png",1,"left","right",0.536000013,0,4,0,0
"844",60,93,0.5,"stim/21.jpeg",2,1,1,"Instruments",2,"stim/objects/Instruments/bassdrum.png",2,"right","right",0.750000238,1,4,1,0
