"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"244",28,"stim/11.jpeg",1,"Music items",45,55,50,3.999000072,1,50,1
"243",28,"stim/21.jpeg",2,"Household items",45,55,38,2.534999847,1,50,1
"242",28,"stim/31.jpeg",3,"Music items",65,75,54,2.246999979,1,70,1
"245",28,"stim/41.jpeg",4,"Music items",65,75,69,3.116000175,1,70,1
"241",28,"stim/51.jpeg",5,"Household items",5,15,75,47.48600006,1,10,1
"246",28,"stim/61.jpeg",6,"Music items",5,15,80,2.805000067,1,10,1
"582",28,"stim/11.jpeg",1,"Music items",45,55,40,5.09800005,2,50,1
"580",28,"stim/21.jpeg",2,"Household items",45,55,60,3.916999817,2,50,1
"581",28,"stim/31.jpeg",3,"Music items",65,75,35,4.638000011,2,70,1
"578",28,"stim/41.jpeg",4,"Music items",65,75,75,5.625999928,2,70,1
"583",28,"stim/51.jpeg",5,"Household items",5,15,95,10.35000014,2,10,1
"579",28,"stim/61.jpeg",6,"Music items",5,15,94,4.596999884,2,10,1
