"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"244",56,"stim/11.jpeg",1,"Music items",45,55,10,5.036000013,1,50,1
"242",56,"stim/21.jpeg",2,"Household items",45,55,10,6.940000057,1,50,1
"246",56,"stim/31.jpeg",3,"Music items",65,75,69,6.608999968,1,70,1
"243",56,"stim/41.jpeg",4,"Music items",65,75,60,7.457000017,1,70,1
"245",56,"stim/51.jpeg",5,"Household items",5,15,49,4.916999817,1,10,1
"241",56,"stim/61.jpeg",6,"Music items",5,15,50,8.370999813,1,10,1
"581",56,"stim/11.jpeg",1,"Music items",45,55,10,5.401000023,2,50,1
"580",56,"stim/21.jpeg",2,"Household items",45,55,10,6.34800005,2,50,1
"578",56,"stim/31.jpeg",3,"Music items",65,75,70,4.907999992,2,70,1
"583",56,"stim/41.jpeg",4,"Music items",65,75,70,7.011000156,2,70,1
"582",56,"stim/51.jpeg",5,"Household items",5,15,50,3.426000118,2,10,1
"579",56,"stim/61.jpeg",6,"Music items",5,15,80,6.972000122,2,10,1
