"","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"243",17,"stim/11.jpeg",1,"Household items",45,55,29,4.651000023,1,50,1
"245",17,"stim/21.jpeg",2,"Music items",45,55,83,2.115999937,1,50,1
"242",17,"stim/31.jpeg",3,"Household items",65,75,10,4.760999918,1,70,1
"246",17,"stim/41.jpeg",4,"Household items",65,75,91,2.200000048,1,70,1
"241",17,"stim/51.jpeg",5,"Music items",5,15,51,71.56499982,1,10,1
"244",17,"stim/61.jpeg",6,"Household items",5,15,37,8.179000139,1,10,1
"582",17,"stim/11.jpeg",1,"Household items",45,55,23,4.289999962,2,50,1
"583",17,"stim/21.jpeg",2,"Music items",45,55,17,4.557999849,2,50,1
"580",17,"stim/31.jpeg",3,"Household items",65,75,11,8.769999981,2,70,1
"578",17,"stim/41.jpeg",4,"Household items",65,75,86,6.437000036,2,70,1
"579",17,"stim/51.jpeg",5,"Music items",5,15,50,2.686000109,2,10,1
"581",17,"stim/61.jpeg",6,"Household items",5,15,40,5.773999929,2,10,1
